Time [s],Channel 0
15.762400000,0
15.772427000,1
15.822521000,0
15.832547000,1
15.882645000,0
15.932744000,1
15.982838000,0
15.992868000,1
16.042961000,0
16.052988000,1
16.203255000,0
16.213281000,1
16.363543000,0
16.373574000,1
16.523839000,0
16.573935000,1
16.624032000,0
16.634059000,1
16.684152000,0
16.694182000,1
16.744276000,0
16.754302000,1
16.904569000,0
16.914596000,1
17.064859000,0
17.114955000,1
17.165052000,0
17.175082000,1
17.325345000,0
17.335376000,1
17.485641000,0
17.495668000,1
17.645931000,0
17.655961000,1
17.806224000,0
17.856320000,1
17.906413000,0
17.916440000,1
17.966534000,0
17.976561000,1
18.026658000,0
18.036688000,1
18.186950000,0
18.196977000,1
18.347243000,0
18.397340000,1
18.447433000,0
18.457460000,1
18.507557000,0
18.517586000,1
18.567681000,0
18.577712000,1
18.627809000,0
18.637835000,1
18.788099000,0
18.838195000,1
18.888292000,0
18.898321000,1
18.948415000,0
18.958440000,1
19.008533000,0
19.018559000,1
19.068656000,0
19.078686000,1
19.228950000,0
19.279048000,1
19.429312000,0
19.439341000,1
19.489438000,0
19.499465000,1
19.649728000,0
19.659755000,1
19.709848000,0
19.759949000,1
19.910209000,0
19.920236000,1
20.070502000,0
20.080529000,1
20.130623000,0
20.140652000,1
20.190746000,0
20.200773000,1
20.250871000,0
20.300966000,1
20.451233000,0
20.461259000,1
20.511353000,0
20.521383000,1
20.571476000,0
24.924160000,0
